"","State","Month","Race","Vaccine","Population","Republican.Rep.","Democratics.Rep.","Region","Season"
"296","Virginia","Dec","White",3.59999999999999,131.9899995,0.43,0.39,"South","Flu"
"297","Washington","Dec","White",3.6,76.2533868,0.33,0.44,"West","Flu"
"298","West Virginia","Dec","White",3.1,69.35313655,0.43,0.41,"South","Flu"
"299","Wisconsin","Dec","White",3.7,86.65012704,0.42,0.42,"Midwest","Flu"
"300","Wyoming","Dec","White",2.5,5.010926317,0.57,0.25,"West","Flu"
"301","Alabama","Jan","White",2.8,62.88571429,0.52,0.35,"South","Flu"
"302","Alaska","Jan","White",2.5,0.785223985,0.39,0.32,"West","Flu"
"303","Arizona","Jan","White",3.1,33.76074867,0.4,0.39,"West","Flu"
"304","Arkansas","Jan","White",2.8,41.73417187,0.46,0.38,"South","Flu"
"305","California","Jan","White",2.9,93.7126041,0.3,0.49,"West","Flu"
"306","Colorado","Jan","White",2.5,36.84618722,0.41,0.42,"West","Flu"
"307","Connecticut","Jan","White",2.4,494.0544892,0.32,0.5,"Northeast","Flu"
"308","Delaware","Jan","White",2,305.8398977,0.29,0.55,"South","Flu"
"309","Florida","Jan","White",2.9,209.0564105,0.37,0.44,"South","Flu"
"310","Georgia","Jan","White",2.8,94.7365804,0.41,0.41,"South","Flu"
"311","Hawaii","Jan","White",3.2,48.35497431,0.28,0.51,"West","Flu"
"312","Idaho","Jan","White",2,17.00646518,0.49,0.32,"West","Flu"
"313","Illinois","Jan","White",2.6,140.9219146,0.33,0.48,"Midwest","Flu"
"314","Indiana","Jan","White",2.9,147.1643435,0.42,0.37,"Midwest","Flu"
"315","Iowa","Jan","White",2.6,48.34451902,0.41,0.4,"Midwest","Flu"
"316","Kansas","Jan","White",1.8,27.01855224,0.46,0.31,"Midwest","Flu"
"317","Kentucky","Jan","White",2.7,94.88560858,0.44,0.43,"South","Flu"
"318","Louisiana","Jan","White",3.3,62.8721021,0.41,0.43,"South","Flu"
"319","Maine","Jan","White",2.90000000000001,40.40466548,0.36,0.47,"Northeast","Flu"
"320","Maryland","Jan","White",3.2,313.6722251,0.31,0.55,"South","Flu"
"321","Massachusetts","Jan","White",3.4,625.996938,0.27,0.56,"Northeast","Flu"
"322","Michigan","Jan","White",2.4,132.2367569,0.34,0.47,"Midwest","Flu"
"323","Minnesota","Jan","White",2.4,55.95608978,0.39,0.46,"Midwest","Flu"
"324","Mississippi","Jan","White",2.8,35.99025877,0.44,0.42,"South","Flu"
"325","Missouri","Jan","White",2.9,70.46388865,0.41,0.42,"Midwest","Flu"
"326","Montana","Jan","White",2.3,6.225926791,0.49,0.3,"West","Flu"
"327","Nebraska","Jan","White",2.1,19.74081011,0.47,0.36,"Midwest","Flu"
"328","Nevada","Jan","White",1.7,13.31713203,0.37,0.46,"West","Flu"
"329","New Hampshire","Jan","White",3.40000000000001,135.2202029,0.35,0.44,"Northeast","Flu"
"330","New Jersey","Jan","White",NA,665.7877072,0.3,0.51,"Northeast","Flu"
"331","New Mexico","Jan","White",1.9,6.43256293,0.37,0.48,"West","Flu"
"332","New York","Jan","White",2.8,231.5894037,0.28,0.53,"Northeast","Flu"
"333","North Carolina","Jan","White",3.4,132.8646907,0.41,0.43,"South","Flu"
"334","North Dakota","Jan","White",2.09999999999999,9.236904658,0.5,0.33,"Midwest","Flu"
"335","Ohio","Jan","White",2.7,224.7545723,0.42,0.4,"Midwest","Flu"
"336","Oklahoma","Jan","White",3,37.52146944,0.45,0.4,"South","Flu"
